,Pais,Poblacion_2018,Area_2018,Area_Evaluada_Porcentaje,Desarrollo_humano_2017,PIB_USD_2018,Precipitacion_media_2018,Irradiancia_Global_Horizontal,Potencial_kWh/kWp/day,Coste_Economico_USD/kWh_2018,Area_equivalente_PV,Capacidad_instalada_2018,Consumo_kWh_per_capita_2014,Tarifa_luz_USD/kWh
30,Norway,5314336,365123.0,0.549278016029811,0.952522019675818,81807.198038676,1414.0,2.5833,2.7612,0.1292,4.282,12.8708459532856,22999.9345951283,10.0
31,Poland,37978548,306190.0,0.764834054271282,0.865075040942413,15424.0460254454,600.0,2.977,2.9844,0.1192,0.904,12.8098630837598,3971.79976131055,13.2
32,Portugal,10281762,91606.0,0.916908191662701,0.847113340712876,23145.7349562595,854.0,4.5656,4.3155,0.0826,0.375,65.1833800471164,4662.60079980294,25.2
33,Romania,19473936,230080.0,0.756728820123837,0.81119175021268,12301.1864034302,637.0,3.5742,3.5236,0.1207,0.257,70.7150316196993,2584.41178726443,5.9
34,San Marino,33785,60.0,0.86,0.0,48494.5514112427,0.0,3.9336,3.7595,0.1018,0.0,0.0,0.0,13.8
35,Serbia,6982084,87460.0,0.842730513383621,0.786693034699728,7233.99587424704,0.0,3.6762,3.5203,0.1207,0.373,1.43223713722149,4271.7446669105,7.3
36,Slovakia,5447011,48080.0,0.594624678245948,0.85520023672264,19546.9019028513,0.0,3.2518,3.2655,0.109,0.83,97.4846571817094,5137.07383519398,11.6
37,Slovenia,2067372,20142.0,0.471185244020828,0.896223828558909,26234.0228962506,1162.0,3.4522,3.4345,0.104,0.842,123.73196502613,6727.99930164211,14.6
38,Spain,46723749,499564.0,0.854934347381477,0.891020216441035,30523.8592390473,636.0,4.5754,4.4127,0.081,0.352,101.526527762145,5355.98700558221,24.8
39,Sweden,10183175,407310.0,0.482517703491403,0.932804549269391,54111.9721723671,624.0,2.6867,2.8373,0.1256,1.936,41.3427050011416,13480.148224391,10.2
40,Switzerland,8516543,39516.0,0.391343552750225,0.943997570278117,82838.9294445761,1537.0,3.3567,3.3639,0.106,2.129,263.722028996977,7520.16602494502,12.3
41,Turkey,82319724,769630.0,0.787929638020853,0.790633980714653,9311.36611728167,0.0,4.5979,4.3232,0.0824,0.23,61.5028787025574,2847.12638262318,10.1
42,Ukraine,44622516,579290.0,0.894402119386471,0.750709737576033,3095.17358053586,565.0,3.3505,3.2962,0.1295,0.37,44.8809296185809,3418.58502352461,7.1
43,United Kingdom,66488991,241930.0,0.851205226869897,0.921548922339409,42491.3644350973,1220.0,2.5918,2.6127,0.1521,2.452,197.145419156684,5129.5277927902,17.2
