pais,desarrollo_humano_porcentaje,pib_usd_per_capita,irradiancia_kwh/m2/day,coste_construccion_usd/kwh,consumo_kwh_per_capita,tarifa_luz_uscent/kwh,capacidad_instalada_wp_per_capita
Chile,0.84285878076783,15923.3590619893,5.7583,0.0684,3879.6756048595,9.7,114.10015184877486
Armenia,0.755112683179379,4212.07094272937,4.2241,0.1038,1961.61039526467,7.6,5.860878332231172
Latvia,0.847143039132196,18088.9272518674,2.7733,0.1252,3507.40452065472,9.9,0.6228776740917146
Japan,0.909152956647799,39286.7376488008,3.6144,0.1712,7819.71463590936,18.6,438.63427464512114
India,0.639832910895806,2015.59048548675,5.0978,0.0682,804.514228089279,17.0,19.86452446216185
Zambia,0.588083472468451,1539.90015779907,5.8834,0.088,717.349167873017,4.7,0.2881541776996099
Tunisia,0.734720097330712,3446.60723792022,5.3011,0.0898,1454.64228662211,9.7,4.072561106574514
Jamaica,0.732240923475134,5355.58263932713,5.2107,0.0971,1050.73290446087,22.3,18.910644648543112
American Samoa (U.S.),,11398.7774181949,4.9163,0.1082,,,75.72342918957901
Burundi,0.417216174255532,275.429603285318,5.1899,0.1019,,15.7,0.4563604023058549
Estonia,0.871042038946073,22927.7444174193,2.7161,0.126,6732.36747315611,8.5,8.327756260201502
Syrian Arab Republic,0.53570370082832,,5.4529,0.0876,974.317139133449,6.7,0.08280945019079593
Niger,0.353931192033396,411.688942542622,6.2647,0.0879,51.1950084399,19.3,0.8911485246947058
Bangladesh,0.608155837031928,1698.26280233547,4.5955,0.109,320.204158205446,9.2,1.2463122003137421
Greece,0.86993406704057,20324.2535641477,4.4501,0.0861,5062.60642155232,19.5,247.1646214256444
Thailand,0.754683545914924,7273.56320732092,4.9348,0.1046,2538.79638035364,12.6,39.17986215579061
Netherlands,0.93063859254565,53024.0592130531,2.8649,0.1241,6712.774758245,10.6,240.8447510672179
Sweden,0.932804549269391,54111.9721723671,2.6867,0.1256,13480.148224391,10.2,41.34270500114159
Tanzania,0.537714740595746,1050.67525379846,5.6567,0.0947,103.683315765216,12.6,0.45100754730944875
